District,SCRBA,BRRNA,FRSOA,SANDA,HOMSA,SPRSA,GRSLA,PLMRA,CCNTA,Total
AMPARA,40531,22550,103705,1285,-,-,-,-,-,168071
ANURADHAPURA,117222,8154,70543,-,961,1143,-,-,3,198026
BADULLA,126647,3742,127656,-,-,-,-,-,-,258045
BATTICALOA,58251,16856,24325,892,-,-,-,-,-,100324
COLOMBO,1066,162,861,191,-,-,-,-,-,2279
GALLE,6454,181,5941,252,-,-,-,-,-,12828
GAMPAHA,5121,746,1570,375,-,-,-,-,-,7811
HAMBANTOTA,53217,2222,37456,1555,-,-,-,-,-,94450
JAFFNA,9928,7750,1096,5920,34778,3313,2449,701,874,66808
KALUTARA,16468,151,14080,239,-,-,-,-,-,30938
KANDY,22448,1122,87944,-,-,-,-,-,-,111515
KEGALLE,12522,469,14235,-,-,-,-,-,-,27226
KILINOCHCHI,13960,7806,8508,2530,17516,5742,21,469,1705,58256
KURUNEGALA,38396,1027,20206,1,,,-,-,-,59630
MANNAR,32532,9391,17940,465,8715,4523,227,737,849,75379
MATALE,31047,2930,112991,-,-,-,-,-,-,146968
MATARA,2174,108,1660,137,-,-,-,-,-,4078
MONERAGALA,202953,1844,145499,-,-,-,-,-,-,350296
MULLAITIVU,27621,5902,29933,642,16716,6505,402,-,1029,88749
NUWARA ELIYA,33582,555,52807,-,-,-,-,-,-,86944
POLONNARUWA,60743,10996,57998,-,-,-,-,-,-,129737
PUTTALAM,42660,5650,18174,2332,-,-,-,-,-,68817
RATNAPURA,62244,1883,67576,-,-,-,-,-,-,131703
TRINCOMALEE,46942,18139,62628,563,-,4,-,-,-,128275
VAVUNIYA,23978,2427,13487,-,21268,12934,1044,-,108,75247
